count,order,family,genus,level,genus_species,ID,in_refdb
66,Osmeriformes,Alepocephalidae,Alepocephalus,SPECIES,Alepocephalus agassizii,5214412,MATCH
66,Perciformes,Channidae,Channa,SPECIES,Channa argus,4284921,MATCH
65,Siluriformes,Ictaluridae,Ameiurus,SPECIES,Ameiurus catus,2340972,MATCH
64,Scorpaeniformes,Cyclopteridae,Eumicrotremus,SPECIES,Eumicrotremus spinosus,2336857,MATCH
62,Perciformes,Carangidae,Trachinotus,SPECIES,Trachinotus falcatus,9819074,MATCH
61,Perciformes,Sciaenidae,Bairdiella,SPECIES,Bairdiella chrysoura,2400214,MATCH
60,Scorpaeniformes,Cottidae,Icelus,SPECIES,Icelus spatula,5201205,MATCH
58,Clupeiformes,Clupeidae,Dorosoma,SPECIES,Dorosoma cepedianum,2413541,MATCH
57,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis hudsonius,2362185,MATCH
55,Acipenseriformes,Acipenseridae,Acipenser,SPECIES,Acipenser oxyrinchus,4287132,MATCH
55,Scorpaeniformes,Peristediidae,Peristedion,SPECIES,Peristedion miniatum,2335006,MATCH
54,Clupeiformes,Engraulidae,Anchoa,SPECIES,Anchoa mitchilli,2413931,MATCH
54,Osmeriformes,Osmeridae,Osmerus,SPECIES,Osmerus mordax,4283983,MATCH
53,Anguilliformes,Congridae,Conger,SPECIES,Conger oceanicus,2403522,MATCH
52,Osmeriformes,Osmeridae,Mallotus,SPECIES,Mallotus villosus,5214420,MATCH
52,Tetraodontiformes,Balistidae,Balistes,SPECIES,Balistes capriscus,2407107,MATCH
51,Perciformes,Sciaenidae,Cynoscion,SPECIES,Cynoscion regalis,2399985,MATCH
50,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis bifrenatus,2362305,MATCH
50,Rajiformes,Rajidae,Leucoraja,SPECIES,Leucoraja garmani,2419858,NO MATCH
50,Perciformes,Percidae,Etheostoma,SPECIES,Etheostoma fusiforme,2382339,MATCH
49,Scorpaeniformes,Liparidae,Liparis,SPECIES,Liparis gibbus,5201429,MATCH
48,Perciformes,Sciaenidae,Pogonias,SPECIES,Pogonias cromis,5212349,MATCH
48,Perciformes,Sphyraenidae,Sphyraena,SPECIES,Sphyraena borealis,2394241,MATCH
47,Myliobatiformes,Myliobatidae,Rhinoptera,SPECIES,Rhinoptera bonasus,5215777,MATCH
