10,Clupeiformes,Clupeidae,Sardinella,SPECIES,Sardinella aurita,2412864
1,Clupeiformes,Dussumieriidae,Etrumeus,SPECIES,Etrumeus sadina,2413189
22,Clupeiformes,Engraulidae,Anchoa,SPECIES,Anchoa hepsetus,2413913
1,Clupeiformes,Engraulidae,Anchoa,SPECIES,Anchoa lyolepis,2413866
54,Clupeiformes,Engraulidae,Anchoa,SPECIES,Anchoa mitchilli,2413931
1,Cypriniformes,Catostomidae,Carpiodes,SPECIES,Carpiodes cyprinus,2358950
2,Cypriniformes,Catostomidae,Catostomus,SPECIES,Catostomus catostomus,4286868
201,Cypriniformes,Catostomidae,Catostomus,SPECIES,Catostomus commersonii,2359014
45,Cypriniformes,Catostomidae,Erimyzon,SPECIES,Erimyzon oblongus,2358941
2,Cypriniformes,Catostomidae,Hypentelium,SPECIES,Hypentelium nigricans,2358931
2,Cypriniformes,Catostomidae,Moxostoma,SPECIES,Moxostoma macrolepidotum,2359006
19,Cypriniformes,Cobitidae,Misgurnus,SPECIES,Misgurnus anguillicaudatus,2367919
156,Cypriniformes,Cyprinidae,Carassius,SPECIES,Carassius auratus,4286942
6,Cypriniformes,Cyprinidae,Chrosomus,SPECIES,Chrosomus eos,2365385
5,Cypriniformes,Cyprinidae,Couesius,SPECIES,Couesius plumbeus,2360898
11,Cypriniformes,Cyprinidae,Ctenopharyngodon,SPECIES,Ctenopharyngodon idella,2362030
32,Cypriniformes,Cyprinidae,Cyprinella,SPECIES,Cyprinella analostana,5207658
8,Cypriniformes,Cyprinidae,Cyprinella,SPECIES,Cyprinella spiloptera,5207691
288,Cypriniformes,Cyprinidae,Cyprinus,SPECIES,Cyprinus carpio,4286975
8,Cypriniformes,Cyprinidae,Cyprinus,SUBSPECIES,Cyprinus carpio carpio,7059109
94,Cypriniformes,Cyprinidae,Cyprinus,SPECIES,Cyprinus rubrofuscus,2367196
7,Cypriniformes,Cyprinidae,Exoglossum,SPECIES,Exoglossum maxillingua,2361987
2,Cypriniformes,Cyprinidae,,FAMILY,Cyprininae,7336
2,Cypriniformes,Cyprinidae,,FAMILY,Cyprinus carpio × Carassius auratus,7336
20,Cypriniformes,Cyprinidae,Hybognathus,SPECIES,Hybognathus regius,2364402
183,Cypriniformes,Cyprinidae,Luxilus,SPECIES,Luxilus cornutus,2366967
245,Cypriniformes,Cyprinidae,Notemigonus,SPECIES,Notemigonus crysoleucas,2363714
19,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis amoenus,2362198
50,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis bifrenatus,2362305
18,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis chalybaeus,2362302
1,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis heterolepis,2362139
57,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis hudsonius,2362185
43,Cypriniformes,Cyprinidae,Notropis,SPECIES,Notropis procne,2362157
3,Cypriniformes,Cyprinidae,Pimephales,SPECIES,Pimephales notatus,2367736
